GRBID	z	logTa_best	logTa_min	logTa_max	logFa	logFa_min	logFa_max	Photonindex_plateau	Photonerror_max	Photonerror_min	Alpha_best	Alpha_min	Alpha_max	Tt	Tfinal	kplateau	dk	logTa_rescaled	logTaErr	logLumTa	logLumTaErr	Gold1	Gold2	EnergyFlux	EnergyFluxerr	phinprompt	phinprompterror	Epeak	Epeakerror	Kprompt	KPrompterror	logLpeak	logLpeakerr	Environment	Functionalform	Eiso	Eisoerror	DistanceLum	GRBID_1	Theta	ThetaErr
60418	1.49	3.11887	3.06163	3.17612	-9.79296	-9.842	-9.74392	1.98	0.23	0.22	1.47655	1.43185	1.52126	2.6	6	0.98191979	0.12215297	2.722670653	0.057245	48.34547721	0.072964774	L-G-P	L-G	4.99e-7	1.63e-8	-1.49841	0.053854545	-	-	0.632805681	0.031090104	51.6456516	0.0256	S	PL	51.6456	0.0256	28.5236	60418	11.481937894154196	0.08834075283545793
60814	0.84	4.22387	4.18901	4.25872	-10.9108	-10.9461	-10.8755	1.97	0.1	0.1	1.29504	1.27047	1.3196	3.03	6.2	0.981873334	0.036285609	3.959052177	0.034855	46.61235007	0.038777294	L-G-P	L-G	6.06e-7	1.48e-8	-1.30068	0.03990303	-	-	0.652841269	0.015884603	51.12806218	0.015	N/A	PL	51.128	0.015	28.2159	60814	13.414275147056037	0.06051688662593295
61121	1.314	3.78753	3.7705	3.80456	-10.0299	-10.0426	-10.0173	1.9485	0.07738863	0.072672209	1.35185	1.336	1.3677	2.27	6.5	0.95771279	0.036537523	3.423166645	0.01703	47.96278284	0.020845717	L-G-P	L-G	1.96e-6	2.43e-8	-1.05095	0.022127273	-	-	0.451025356	0.008372964	51.95834862	0.0097	Wind	PL	51.9583	0.0097	28.4561	61121	10.45297934983813	0.030398154117041207
80430	0.767	4.217629106	4.179240584	4.256017629	-11.17223461	-11.20041558	-11.14405365	4.18	1.801	1.65	0.992697628	0.971762559	1.013632697	2.5	6.5	3.459200045	2.059373215	3.970392556	0.038388522	46.80071913	0.260080772	L-G-P	L-G	1.82e-7	8.08e-9	-1.75064	0.072306061	-	-	0.867659036	0.035715124	50.63180707	0.0263	N/A	PL	50.6318	0.0263	28.1674	80430	15.574926524615629	0.12340700028041694
81008	1.967	3.855508334	3.79922265	3.911794018	-10.79325557	-10.85378546	-10.73272568	1.84	0.18	0.13	1.473984673	1.409995994	1.537973352	3	6	0.840289995	0.085847315	3.383190788	0.056285684	47.5742692	0.075049954	L-G-P	L-G	1.05e-7	8.13e-9	-1.34307	0.12310303	-	-	0.489463639	0.065529816	51.15263616	0.0672	Wind	PL	51.1526	0.0672	28.6719	81008	13.315516829037774	0.2691612529773096
91018	0.971	2.896555345	2.862057467	2.931053222	-9.626765539	-9.651054142	-9.602476935	1.91	0.108166538	0.10404326	1.180748671	1.164413557	1.197083785	1.9	6	0.940758614	0.041049305	2.601868721	0.034497877	48.03312577	0.030806545	L-G-P	L-G	5.91e-7	1.22e-8	-2.19323	0.038245455	-	-	1.140098296	0.029586816	51.51519537	0.0144	N/A	PL	51.5152	0.0144	28.2936	91018	11.940810043292126	0.0517259496928869
91020	1.71	2.952650108	2.907378853	2.997921363	-9.71287528	-9.747355967	-9.678394593	1.895	0.125299641	0.120933866	1.174172639	1.155927778	1.1924175	2.4	6	0.900613027	0.066995282	2.519680817	0.045271255	48.53545315	0.04725071	L-G-P	L-G	3.64e-7	1.71e-8	-1.18388	0.07539697	-	-	0.443246283	0.033317452	51.5010753	0.0385	N/A	PL	51.5011	0.0385	28.5973	91020	11.991571470574945	0.13868130510049675
090418A	1.608	3.528136567	3.497377547	3.558895588	-10.04734554	-10.07600494	-10.01868613	1.98	0.148660687	0.141598023	1.529096669	1.486942155	1.571251182	2.1	5.6	0.981010935	0.082713269	3.11182898	0.03075902	48.17233996	0.04649929	L-G-P	L-G	1.58e-7	1.66e-8	-1.29276	0.167690909	-	-	0.507657284	0.081603757	51.13226217	0.0834	Wind	PL	51.1322	0.0834	28.5644	090418A	13.397343921628094	0.3361282326609511
110213A	1.46	3.84089	3.81962	3.86665	-9.89698	-9.93009	-9.85833	2.1905	0.681520543	0.228795214	1.8412	1.81639	1.87209	2.1	6	1.187061276	0.294762085	3.449954893	0.023515	48.30204222	0.113652963	L-G-P	L-G	7.15e-8	1.88e-8	-2.82425	0.477678788	-	-	2.100043361	0.902993408	51.30131736	0.2188	ISM	PL	51.3013	0.2188	28.5127	110213A	12.733442203081779	0.8373558672674817
150403A	2.06	3.19694	3.18997	3.20392	-8.82118	-8.82629	-8.81608	1.679	0.015	0.015	1.24471	1.24013	1.24929	2	6.2	0.698366538	0.007100578	2.711218574	0.006975	49.51510523	0.00674974	L-G-P	L-G	1.71e-6	3.81e-8	-0.917571	0.036280909	-	-	0.298017002	0.012092669	52.19894292	0.0201	N/A	PL	52.1989	0.0201	28.6965	150403A	9.724825163215312	0.05867482569860587
150910A	1.36	3.85419	3.82551	3.88287	-9.97065	-10.0028	-8.59487	1.6645	0.096509067	0.091591484	2.03808	1.97145	2.10471	2.2	5.5	0.749700884	0.036693252	3.481277997	0.02868	47.95264045	0.704285837	L-G-P	L-G	8.28e-8	2.18e-8	-1.46489	0.570074545	-	-	0.631612997	0.309175277	50.76683346	0.2413	Wind	PL	50.7668	0.2413	28.4746	150910A	14.954366545773706	1.0865392263706461
151027A	0.81	3.99907	3.98176	4.01638	-9.93519	-9.9574	-9.91298	1.9235	0.063405441	0.0585235	1.74508	1.72009	1.77007	2.7	6	0.95562519	0.020949538	3.741391425	0.01731	47.53730861	0.024164618	L-G-P	L-G	5.82e-7	2.88e-8	-1.23969	0.081806061	-	-	0.636919291	0.030914618	51.06127541	0.0301	ISM	PL	51.0613	0.0301	28.1965	151027A	13.686430094211184	0.12385649594303767
160121A	1.96	3.8244	3.70401	3.94478	-11.1726	-11.242	-11.1032	2.02	0.27	0.21	0.798663	0.692615	0.904711	2.4	5	1.021941026	0.161309009	3.353108289	0.120385	47.2761284	0.097548301	L-G-P	L-G	7.79e-8	8.23e-9	-1.81961	0.152063636	-	-	0.822211768	0.135679599	51.24587628	0.0851	N/A	PL	51.2459	0.0851	28.67	160121A	12.94742721538543	0.33117598395211567
180329B	1.998	4.02296	3.97982	4.0661	-11.1493	-11.1975	-11.101	1.77	0.12	0.12	1.50063	1.43097	1.5703	2.8	5.2	0.776834895	0.062030713	3.546128371	0.04314	47.20075559	0.05941946	L-G-P	L-G	9.09e-8	2.02e-8	-1.91187	0.350969697	-	-	0.907772095	0.34980595	51.37629371	0.1932	S	PL	51.3763	0.1932	28.6802	180329B	12.449716959288077	0.7229520514436285
131105A	1.686	3.9488	3.90091	3.99668	-10.9111	-10.9445	-10.8778	1.94	0.17	0.16	1.19347	1.14803	1.23891	2.6	6	0.942439846	0.093118061	3.519693992	0.047885	47.34183612	0.054346501	L-G	L-G	2.68e-7	2.04e-9	-1.452	0.112	-	-	0.581902077	0.064394417	51.47237314	0.0562	N/A	PL	51.648	0.0562	28.5897	131105A	17.60027332	0.255806855
